GP,Date,Time,Time-1,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG
1,10/4/2018,7:30 PM,18:30:00,@,Ottawa Senators,4,3,W,OT,1,0,0,W 1,"15,858",2:38
2,10/6/2018,8:00 PM,19:00:00,@,St. Louis Blues,5,4,W,OT,2,0,0,W 2,"17,429",2:39
3,10/7/2018,7:00 PM,18:00:00,,Toronto Maple Leafs,6,7,L,OT,2,0,1,L 1,"21,812",2:31
4,10/11/2018,8:00 PM,19:00:00,@,Minnesota Wild,3,4,L,OT,2,0,2,L 2,"18,652",2:42
5,10/13/2018,8:30 PM,19:30:00,,St. Louis Blues,4,3,W,OT,3,0,2,W 1,"21,634",2:38
6,10/18/2018,8:30 PM,19:30:00,,Arizona Coyotes,1,4,L,,3,1,2,L 1,"21,210",2:31
7,10/20/2018,7:00 PM,18:00:00,@,Columbus Blue Jackets,4,1,W,,4,1,2,W 1,"17,005",2:29
8,10/21/2018,7:00 PM,18:00:00,,Tampa Bay Lightning,3,6,L,,4,2,2,L 1,"21,012",2:29
9,10/23/2018,8:30 PM,19:30:00,,Anaheim Ducks,3,1,W,,5,2,2,W 1,"20,900",2:31
10,10/25/2018,8:30 PM,19:30:00,,New York Rangers,4,1,W,,6,2,2,W 2,"21,280",2:36
11,10/27/2018,8:00 PM,19:00:00,@,St. Louis Blues,3,7,L,,6,3,2,L 1,"17,201",2:32
12,10/28/2018,6:00 PM,17:00:00,,Edmonton Oilers,1,2,L,OT,6,3,3,L 2,"20,987",2:24
13,10/31/2018,10:00 PM,21:00:00,@,Vancouver Canucks,2,4,L,,6,4,3,L 3,"16,955",2:32
14,11/1/2018,9:00 PM,20:00:00,@,Edmonton Oilers,0,4,L,,6,5,3,L 4,"18,347",2:26
15,11/3/2018,10:00 PM,21:00:00,@,Calgary Flames,3,5,L,,6,6,3,L 5,"18,143",2:26
16,11/8/2018,8:30 PM,19:30:00,,Carolina Hurricanes,3,4,L,,6,7,3,L 6,"21,331",2:20
17,11/10/2018,1:00 PM,12:00:00,@,Philadelphia Flyers,0,4,L,,6,8,3,L 7,"19,355",2:25
18,11/12/2018,7:00 PM,18:00:00,@,Carolina Hurricanes,2,3,L,OT,6,8,4,L 8,"11,221",2:28
19,11/14/2018,8:00 PM,19:00:00,,St. Louis Blues,1,0,W,,7,8,4,W 1,"21,401",2:19
20,11/16/2018,8:30 PM,19:30:00,,Los Angeles Kings,1,2,L,SO,7,8,5,L 1,"21,227",2:36
21,11/18/2018,6:00 PM,17:00:00,,Minnesota Wild,3,1,W,,8,8,5,W 1,"21,373",2:33
22,11/21/2018,7:00 PM,18:00:00,@,Washington Capitals,2,4,L,,8,9,5,L 1,"18,506",2:30
23,11/23/2018,7:30 PM,18:30:00,@,Tampa Bay Lightning,2,4,L,,8,10,5,L 2,"19,092",2:20
24,11/24/2018,7:00 PM,18:00:00,@,Florida Panthers,5,4,W,OT,9,10,5,W 1,"14,283",2:37
25,11/27/2018,8:00 PM,19:00:00,,Vegas Golden Knights,3,8,L,,9,11,5,L 1,"21,460",2:26
26,11/29/2018,8:00 PM,19:00:00,@,Winnipeg Jets,5,6,L,,9,12,5,L 2,"15,321",2:21
27,12/1/2018,8:00 PM,19:00:00,@,Nashville Predators,2,5,L,,9,13,5,L 3,"17,548",2:26
28,12/2/2018,7:00 PM,18:00:00,,Calgary Flames,2,3,L,,9,14,5,L 4,"21,074",2:30
29,12/5/2018,10:30 PM,21:30:00,@,Anaheim Ducks,2,4,L,,9,15,5,L 5,"15,696",2:24
30,12/6/2018,10:00 PM,21:00:00,@,Vegas Golden Knights,3,4,L,,9,16,5,L 6,"18,494",2:32
31,12/9/2018,6:00 PM,17:00:00,,Montreal Canadiens,2,3,L,,9,17,5,L 7,"21,057",2:32
32,12/11/2018,8:00 PM,19:00:00,@,Winnipeg Jets,3,6,L,,9,18,5,L 8,"15,321",2:23
33,12/12/2018,8:00 PM,19:00:00,,Pittsburgh Penguins,6,3,W,,10,18,5,W 1,"21,232",2:28
34,12/14/2018,8:30 PM,19:30:00,,Winnipeg Jets,3,4,L,OT,10,18,6,L 1,"21,235",2:33
35,12/16/2018,7:00 PM,18:00:00,,San Jose Sharks,3,7,L,,10,19,6,L 2,"21,237",2:26
36,12/18/2018,8:30 PM,19:30:00,,Nashville Predators,2,1,W,,11,19,6,W 1,"21,223",2:29
37,12/20/2018,8:30 PM,19:30:00,@,Dallas Stars,5,2,W,,12,19,6,W 2,"18,532",2:31
38,12/21/2018,9:00 PM,20:00:00,@,Colorado Avalanche,2,1,W,,13,19,6,W 3,"17,850",2:26
39,12/23/2018,7:00 PM,18:00:00,,Florida Panthers,3,6,L,,13,20,6,L 1,"21,789",2:16
40,12/27/2018,8:30 PM,19:30:00,,Minnesota Wild,5,2,W,,14,20,6,W 1,"21,735",2:36
41,12/29/2018,9:00 PM,20:00:00,@,Colorado Avalanche,3,2,W,OT,15,20,6,W 2,"18,028",2:33
42,1/1/2019,1:00 PM,12:00:00,,Boston Bruins,2,4,L,,15,21,6,L 1,"76,126",2:37
43,1/3/2019,7:30 PM,18:30:00,@,New York Islanders,2,3,L,OT,15,21,7,L 2,"13,454",2:33
44,1/6/2019,8:00 PM,19:00:00,@,Pittsburgh Penguins,5,3,W,,16,21,7,W 1,"18,623",2:24
45,1/7/2019,8:30 PM,19:30:00,,Calgary Flames,3,4,L,,16,22,7,L 1,"21,036",2:26
46,1/9/2019,8:00 PM,19:00:00,,Nashville Predators,3,4,L,OT,16,22,8,L 2,"21,255",2:27
47,1/12/2019,8:30 PM,19:30:00,,Vegas Golden Knights,3,4,L,OT,16,22,9,L 3,"21,760",2:31
48,1/14/2019,7:00 PM,18:00:00,@,New Jersey Devils,5,8,L,,16,23,9,L 4,"15,204",2:29
49,1/17/2019,7:00 PM,18:00:00,@,New York Rangers,3,4,L,,16,24,9,L 5,"17,434",2:32
50,1/20/2019,12:30 PM,11:30:00,,Washington Capitals,8,5,W,,17,24,9,W 1,"21,316",2:36
51,1/22/2019,8:30 PM,19:30:00,,New York Islanders,3,2,W,SO,18,24,9,W 2,"21,330",2:36
52,2/1/2019,7:00 PM,18:00:00,@,Buffalo Sabres,7,3,W,,19,24,9,W 3,"18,205",2:26
53,2/2/2019,8:00 PM,19:00:00,@,Minnesota Wild,4,3,W,OT,20,24,9,W 4,"19,114",2:39
54,2/5/2019,9:00 PM,20:00:00,@,Edmonton Oilers,6,2,W,,21,24,9,W 5,"18,347",2:32
55,2/7/2019,8:30 PM,19:30:00,,Vancouver Canucks,4,3,W,OT,22,24,9,W 6,"21,540",2:34
56,2/10/2019,3:00 PM,14:00:00,,Detroit Red Wings,5,2,W,,23,24,9,W 7,"21,941",2:31
57,2/12/2019,7:00 PM,18:00:00,@,Boston Bruins,3,6,L,,23,25,9,L 1,"17,565",2:32
58,2/14/2019,8:30 PM,19:30:00,,New Jersey Devils,5,2,W,,24,25,9,W 1,"21,038",2:28
59,2/16/2019,8:30 PM,19:30:00,,Columbus Blue Jackets,2,5,L,,24,26,9,L 1,"22,196",2:22
60,2/18/2019,8:30 PM,19:30:00,,Ottawa Senators,8,7,W,,25,26,9,W 1,"21,338",2:33
61,2/20/2019,7:30 PM,18:30:00,@,Detroit Red Wings,5,4,W,OT,26,26,9,W 2,"18,806",2:38
62,2/22/2019,7:30 PM,18:30:00,,Colorado Avalanche,3,5,L,,26,27,9,L 1,"21,653",2:27
63,2/24/2019,3:00 PM,14:00:00,,Dallas Stars,3,4,L,,26,28,9,L 2,"21,474",2:32
64,2/27/2019,10:00 PM,21:00:00,@,Anaheim Ducks,4,3,W,,27,28,9,W 1,"16,689",2:28
65,3/2/2019,4:00 PM,15:00:00,@,Los Angeles Kings,3,6,L,,27,29,9,L 1,"18,230",2:24
66,3/3/2019,10:00 PM,21:00:00,@,San Jose Sharks,2,5,L,,27,30,9,L 2,"17,252",2:17
67,3/7/2019,8:30 PM,19:30:00,,Buffalo Sabres,5,4,W,SO,28,30,9,W 1,"21,500",2:38
68,3/9/2019,8:00 PM,19:00:00,@,Dallas Stars,2,1,W,,29,30,9,W 2,"18,532",2:25
69,3/11/2019,8:30 PM,19:30:00,,Arizona Coyotes,7,1,W,,30,30,9,W 3,"21,574",2:27
70,3/13/2019,7:00 PM,18:00:00,@,Toronto Maple Leafs,5,4,W,,31,30,9,W 4,"19,342",2:28
71,3/16/2019,7:00 PM,18:00:00,@,Montreal Canadiens,2,0,W,,32,30,9,W 5,"21,302",2:24
72,3/18/2019,8:30 PM,19:30:00,,Vancouver Canucks,2,3,L,OT,32,30,10,L 1,"21,496",2:25
73,3/21/2019,8:30 PM,19:30:00,,Philadelphia Flyers,1,3,L,,32,31,10,L 2,"21,484",2:25
74,3/23/2019,3:00 PM,14:00:00,@,Colorado Avalanche,2,4,L,,32,32,10,L 3,"17,099",2:26
75,3/24/2019,8:00 PM,19:00:00,,Colorado Avalanche,2,1,W,OT,33,32,10,W 1,"21,410",2:35
76,3/26/2019,10:00 PM,21:00:00,@,Arizona Coyotes,0,1,L,,33,33,10,L 1,"15,055",2:19
77,3/28/2019,10:30 PM,21:30:00,@,San Jose Sharks,5,4,W,,34,33,10,W 1,"17,364",2:25
78,3/30/2019,10:30 PM,21:30:00,@,Los Angeles Kings,2,3,L,OT,34,33,11,L 1,"18,230",2:36
79,4/1/2019,8:30 PM,19:30:00,,Winnipeg Jets,3,4,L,OT,34,33,12,L 2,"21,314",2:33
80,4/3/2019,8:00 PM,19:00:00,,St. Louis Blues,4,3,W,SO,35,33,12,W 1,"21,482",2:39
81,4/5/2019,8:30 PM,19:30:00,,Dallas Stars,6,1,W,,36,33,12,W 2,"21,626",2:24
82,4/6/2019,8:00 PM,19:00:00,@,Nashville Predators,2,5,L,,36,34,12,L 1,"17,694",2:24
